"","week","yards","preds"
"366",9,39,0.807073521007568
"367",10,39,0.798777630038403
"368",11,39,0.790217737023363
"369",12,39,0.781393365410868
"370",13,39,0.772304757831171
"371",14,39,0.762952919326574
"372",15,39,0.753339658067775
"373",16,39,0.743467622919124
"374",17,39,0.733340337200063
"375",1,40,0.850412373395939
"376",2,40,0.843618971427605
"377",3,40,0.836576340223626
"378",4,40,0.829280726901845
"379",5,40,0.821728824343304
"380",6,40,0.813917818043735
"381",7,40,0.805845433493245
"382",8,40,0.797509983669497
"383",9,40,0.788910416182342
"384",10,40,0.780046359562629
"385",11,40,0.770918168146072
"386",12,40,0.761526964966
"387",13,40,0.75187468203798
"388",14,40,0.741964097396137
"389",15,40,0.731798868227014
"390",16,40,0.721383559443396
"391",17,40,0.710723667048946
"392",1,41,0.835497776128329
"393",2,41,0.828163903311975
"394",3,41,0.820573286344193
"395",4,41,0.812723188723371
"396",5,41,0.804611421072651
"397",6,41,0.796236388611407
"398",7,41,0.787597138204869
"399",8,41,0.778693404478095
"400",9,41,0.769525654439256
"401",10,41,0.760095130021023
"402",11,41,0.750403887919022
"403",12,41,0.740454836084474
"404",13,41,0.730251766215646
"405",14,41,0.719799381591009
"406",15,41,0.709103319597297
"407",16,41,0.698170168329088
"408",17,41,0.687007476673805
"409",1,42,0.819411904318541
"410",2,42,0.811522665988572
"411",3,42,0.803371479239694
"412",4,42,0.794956842593406
"413",5,42,0.78627790320974
"414",6,42,0.777334502813879
"415",7,42,0.768127222045548
"416",8,42,0.758657422635027
"417",9,42,0.748927286780953
"418",10,42,0.738939853084501
"419",11,42,0.728699048383602
"420",12,42,0.718209714830846
"421",13,42,0.707477631570912
"422",14,42,0.696509530398845
"423",15,42,0.685313104819912
"424",16,42,0.673897011985764
"425",17,42,0.662270867050077
"426",1,43,0.802125603813713
"427",2,43,0.793671343693629
"428",3,43,0.784952711687287
"429",4,43,0.775969657619755
"430",5,43,0.766722876713185
"431",6,43,0.75721385138337
"432",7,43,0.747444890142333
"433",8,43,0.737419162959258
"434",9,43,0.727140732422669
"435",10,43,0.716614580048549
"436",11,43,0.705846627093185
"437",12,43,0.694843749257065
"438",13,43,0.683613784707741
"439",14,43,0.672165534905719
"440",15,43,0.660508757788084
"441",16,43,0.648654152949378
"442",17,43,0.636613338557307
"443",1,44,0.783621564502701
"444",2,44,0.774598872341792
"445",3,44,0.765312624606722
"446",4,44,0.755764425276
"447",5,44,0.745956709972508
"448",6,44,0.735892780736355
"449",7,44,0.72557683650025
"450",8,44,0.715013998613364
"451",9,44,0.704210330775748
"452",10,44,0.693172852774945
"453",11,44,0.681909547460208
"454",12,44,0.670429360448073
"455",13,44,0.658742192125818
"456",14,44,0.646858881606244
